      r[a_0]     n(bound)   n(unbound) n(tightbound)
9.066339e-04 1.332794e+03 1.395102e+01 1.249486e+03
9.185965e-04 1.332619e+03 1.394918e+01 1.249322e+03
9.307169e-04 1.332436e+03 1.394725e+01 1.249150e+03
9.429973e-04 1.332244e+03 1.394523e+01 1.248970e+03
9.554397e-04 1.332043e+03 1.394312e+01 1.248782e+03
9.680462e-04 1.331834e+03 1.394092e+01 1.248586e+03
9.808191e-04 1.331616e+03 1.393863e+01 1.248382e+03
9.937605e-04 1.331389e+03 1.393625e+01 1.248169e+03
1.006873e-03 1.331154e+03 1.393377e+01 1.247949e+03
1.020158e-03 1.330910e+03 1.393121e+01 1.247720e+03
1.033618e-03 1.330658e+03 1.392855e+01 1.247483e+03
1.047256e-03 1.330396e+03 1.392580e+01 1.247238e+03
1.061074e-03 1.330126e+03 1.392296e+01 1.246984e+03
1.075075e-03 1.329846e+03 1.392002e+01 1.246723e+03
1.089260e-03 1.329558e+03 1.391699e+01 1.246453e+03
1.103632e-03 1.329261e+03 1.391387e+01 1.246174e+03
1.118194e-03 1.328955e+03 1.391065e+01 1.245887e+03
1.132948e-03 1.328640e+03 1.390734e+01 1.245591e+03
1.147897e-03 1.328315e+03 1.390393e+01 1.245287e+03
1.163043e-03 1.327982e+03 1.390042e+01 1.244975e+03
1.178388e-03 1.327639e+03 1.389682e+01 1.244654e+03
1.193937e-03 1.327287e+03 1.389312e+01 1.244324e+03
1.209690e-03 1.326926e+03 1.388932e+01 1.243985e+03
1.225651e-03 1.326555e+03 1.388543e+01 1.243637e+03
1.241823e-03 1.326175e+03 1.388143e+01 1.243281e+03
1.258208e-03 1.325785e+03 1.387733e+01 1.242916e+03
1.274810e-03 1.325386e+03 1.387314e+01 1.242542e+03
1.291630e-03 1.324978e+03 1.386884e+01 1.242159e+03
1.308673e-03 1.324559e+03 1.386444e+01 1.241766e+03
1.325940e-03 1.324131e+03 1.385994e+01 1.241365e+03
1.343435e-03 1.323693e+03 1.385534e+01 1.240954e+03
1.361161e-03 1.323245e+03 1.385063e+01 1.240535e+03
1.379121e-03 1.322788e+03 1.384582e+01 1.240106e+03
1.397318e-03 1.322320e+03 1.384090e+01 1.239667e+03
1.415755e-03 1.321842e+03 1.383588e+01 1.239219e+03
1.434435e-03 1.321354e+03 1.383075e+01 1.238762e+03
1.453361e-03 1.320856e+03 1.382551e+01 1.238295e+03
1.472538e-03 1.320348e+03 1.382016e+01 1.237818e+03
1.491967e-03 1.319829e+03 1.381471e+01 1.237332e+03
1.511653e-03 1.319299e+03 1.380914e+01 1.236836e+03
1.531598e-03 1.318760e+03 1.380347e+01 1.236330e+03
1.551807e-03 1.318209e+03 1.379768e+01 1.235814e+03
1.572282e-03 1.317648e+03 1.379178e+01 1.235288e+03
1.593028e-03 1.317077e+03 1.378577e+01 1.234752e+03
1.614047e-03 1.316494e+03 1.377964e+01 1.234206e+03
1.635344e-03 1.315900e+03 1.377340e+01 1.233649e+03
1.656921e-03 1.315296e+03 1.376704e+01 1.233082e+03
1.678783e-03 1.314680e+03 1.376057e+01 1.232505e+03
1.700934e-03 1.314053e+03 1.375397e+01 1.231918e+03
1.723377e-03 1.313415e+03 1.374726e+01 1.231319e+03
1.746116e-03 1.312765e+03 1.374043e+01 1.230710e+03
