      r[a_0]     n[bound]   n[unbound]
6.418849e-05 9.713425e+01 7.411106e+00
6.460358e-05 9.726507e+01 7.421087e+00
6.502135e-05 9.739514e+01 7.431011e+00
6.544183e-05 9.752445e+01 7.440877e+00
6.586502e-05 9.765301e+01 7.450686e+00
6.629095e-05 9.778082e+01 7.460438e+00
6.671964e-05 9.790789e+01 7.470132e+00
6.715110e-05 9.803421e+01 7.479771e+00
6.758535e-05 9.815980e+01 7.489353e+00
6.802240e-05 9.828465e+01 7.498879e+00
6.846229e-05 9.840878e+01 7.508349e+00
6.890501e-05 9.853217e+01 7.517764e+00
6.935060e-05 9.865484e+01 7.527123e+00
6.979908e-05 9.877680e+01 7.536428e+00
7.025045e-05 9.889804e+01 7.545678e+00
7.070474e-05 9.901856e+01 7.554874e+00
7.116197e-05 9.913838e+01 7.564016e+00
7.162215e-05 9.925749e+01 7.573104e+00
7.208532e-05 9.937590e+01 7.582138e+00
7.255147e-05 9.949361e+01 7.591119e+00
7.302064e-05 9.961063e+01 7.600048e+00
7.349285e-05 9.972696e+01 7.608923e+00
7.396811e-05 9.984260e+01 7.617746e+00
7.444644e-05 9.995755e+01 7.626517e+00
7.492786e-05 1.000718e+02 7.635236e+00
7.541240e-05 1.001854e+02 7.643903e+00
7.590008e-05 1.002984e+02 7.652519e+00
7.639090e-05 1.004106e+02 7.661084e+00
7.688490e-05 1.005222e+02 7.669597e+00
7.738210e-05 1.006331e+02 7.678061e+00
7.788250e-05 1.007434e+02 7.686474e+00
7.838615e-05 1.008530e+02 7.694836e+00
7.889305e-05 1.009619e+02 7.703149e+00
7.940323e-05 1.010702e+02 7.711413e+00
7.991671e-05 1.011779e+02 7.719627e+00
8.043351e-05 1.012849e+02 7.727792e+00
8.095366e-05 1.013913e+02 7.735908e+00
8.147716e-05 1.014970e+02 7.743976e+00
8.200405e-05 1.016021e+02 7.751995e+00
8.253435e-05 1.017066e+02 7.759967e+00
8.306808e-05 1.018105e+02 7.767890e+00
8.360526e-05 1.019137e+02 7.775766e+00
8.414591e-05 1.020163e+02 7.783595e+00
8.469006e-05 1.021183e+02 7.791376e+00
8.523773e-05 1.022197e+02 7.799111e+00
8.578894e-05 1.023204e+02 7.806800e+00
8.634371e-05 1.024206e+02 7.814442e+00
8.690208e-05 1.025202e+02 7.822038e+00
8.746405e-05 1.026191e+02 7.829588e+00
8.802965e-05 1.027175e+02 7.837092e+00
8.859892e-05 1.028152e+02 7.844551e+00
8.917186e-05 1.029124e+02 7.851965e+00
8.974852e-05 1.030090e+02 7.859335e+00
9.032890e-05 1.031050e+02 7.866659e+00
9.091303e-05 1.032004e+02 7.873939e+00
9.150094e-05 1.032953e+02 7.881175e+00
9.209265e-05 1.033895e+02 7.888367e+00
9.268819e-05 1.034832e+02 7.895516e+00
9.328758e-05 1.035763e+02 7.902621e+00
9.389085e-05 1.036689e+02 7.909683e+00
9.449801e-05 1.037609e+02 7.916701e+00
9.510911e-05 1.038523e+02 7.923677e+00
9.572415e-05 1.039432e+02 7.930611e+00
9.634318e-05 1.040335e+02 7.937502e+00
9.696620e-05 1.041233e+02 7.944351e+00
9.759326e-05 1.042125e+02 7.951158e+00
9.822437e-05 1.043012e+02 7.957924e+00
9.885956e-05 1.043893e+02 7.964648e+00
9.949886e-05 1.044769e+02 7.971331e+00
1.001423e-04 1.045640e+02 7.977974e+00
1.007899e-04 1.046505e+02 7.984575e+00
1.014417e-04 1.047365e+02 7.991136e+00
1.020977e-04 1.048219e+02 7.997656e+00
1.027579e-04 1.049069e+02 8.004137e+00
1.034224e-04 1.049913e+02 8.010578e+00
1.040912e-04 1.050752e+02 8.016979e+00
1.047643e-04 1.051586e+02 8.023340e+00
1.054418e-04 1.052414e+02 8.029663e+00
1.061237e-04 1.053238e+02 8.035946e+00
1.068100e-04 1.054056e+02 8.042191e+00
1.075007e-04 1.054870e+02 8.048397e+00
1.081959e-04 1.055678e+02 8.054564e+00
1.088955e-04 1.056481e+02 8.060694e+00
1.095997e-04 1.057280e+02 8.066785e+00
1.103085e-04 1.058073e+02 8.072839e+00
1.110218e-04 1.058862e+02 8.078855e+00
1.117398e-04 1.059645e+02 8.084834e+00
1.124624e-04 1.060424e+02 8.090776e+00
1.131896e-04 1.061198e+02 8.096681e+00
1.139216e-04 1.061967e+02 8.102549e+00
1.146583e-04 1.062732e+02 8.108381e+00
1.153998e-04 1.063491e+02 8.114176e+00
1.161460e-04 1.064246e+02 8.119936e+00
1.168971e-04 1.064996e+02 8.125659e+00
1.176530e-04 1.065742e+02 8.131347e+00
1.184139e-04 1.066482e+02 8.136999e+00
1.191796e-04 1.067218e+02 8.142616e+00
1.199503e-04 1.067950e+02 8.148197e+00
1.207260e-04 1.068677e+02 8.153744e+00
1.215067e-04 1.069399e+02 8.159256e+00
1.222925e-04 1.070117e+02 8.164733e+00
1.230833e-04 1.070831e+02 8.170176e+00
1.238792e-04 1.071540e+02 8.175585e+00
1.246803e-04 1.072244e+02 8.180960e+00
1.254866e-04 1.072944e+02 8.186301e+00
1.262981e-04 1.073640e+02 8.191609e+00
1.271148e-04 1.074331e+02 8.196883e+00
1.279369e-04 1.075018e+02 8.202123e+00
1.287642e-04 1.075700e+02 8.207331e+00
1.295969e-04 1.076379e+02 8.212506e+00
1.304349e-04 1.077053e+02 8.217648e+00
1.312784e-04 1.077722e+02 8.222758e+00
1.321274e-04 1.078388e+02 8.227835e+00
1.329818e-04 1.079049e+02 8.232880e+00
1.338418e-04 1.079706e+02 8.237894e+00
1.347073e-04 1.080359e+02 8.242875e+00
1.355784e-04 1.081008e+02 8.247825e+00
1.364552e-04 1.081652e+02 8.252743e+00
1.373376e-04 1.082293e+02 8.257630e+00
1.382257e-04 1.082929e+02 8.262486e+00
1.391196e-04 1.083562e+02 8.267311e+00
1.400192e-04 1.084190e+02 8.272106e+00
1.409247e-04 1.084815e+02 8.276870e+00
1.418360e-04 1.085435e+02 8.281603e+00
1.427532e-04 1.086051e+02 8.286306e+00
1.436764e-04 1.086664e+02 8.290979e+00
1.446055e-04 1.087272e+02 8.295622e+00
1.455406e-04 1.087877e+02 8.300236e+00
1.464818e-04 1.088478e+02 8.304819e+00
1.474290e-04 1.089075e+02 8.309374e+00
1.483824e-04 1.089668e+02 8.313899e+00
1.493420e-04 1.090257e+02 8.318395e+00
1.503077e-04 1.090843e+02 8.322862e+00
1.512797e-04 1.091424e+02 8.327301e+00
1.522580e-04 1.092002e+02 8.331710e+00
1.532426e-04 1.092577e+02 8.336092e+00
1.542336e-04 1.093147e+02 8.340445e+00
1.552310e-04 1.093714e+02 8.344770e+00
1.562348e-04 1.094277e+02 8.349067e+00
1.572452e-04 1.094837e+02 8.353336e+00
1.582620e-04 1.095393e+02 8.357578e+00
1.592855e-04 1.095945e+02 8.361792e+00
1.603155e-04 1.096494e+02 8.365978e+00
1.613522e-04 1.097039e+02 8.370138e+00
1.623957e-04 1.097581e+02 8.374270e+00
1.634458e-04 1.098119e+02 8.378376e+00
