     x         r      Vcoul     Vexc       V        rV      dNedr_b    dNedr_s   dNedr_f   dNedr      ne_b      ne_s      ne_f     ne
1.4467e-03 2.0185e-03 4.941e+02 2.654e-01 4.944e+02 9.979e-01 0.000e+00 2.153e-05 1.027e-04 2.153e-05 0.000e+00 4.206e-01 2.007e+00 4.206e-01 
1.4572e-03 2.0332e-03 4.905e+02 2.654e-01 4.908e+02 9.979e-01 0.000e+00 2.185e-05 1.039e-04 2.185e-05 0.000e+00 4.206e-01 1.999e+00 4.206e-01 
1.4678e-03 2.0480e-03 4.870e+02 2.654e-01 4.873e+02 9.979e-01 0.000e+00 2.217e-05 1.050e-04 2.217e-05 0.000e+00 4.206e-01 1.992e+00 4.206e-01 
1.4785e-03 2.0628e-03 4.835e+02 2.654e-01 4.837e+02 9.979e-01 0.000e+00 2.249e-05 1.061e-04 2.249e-05 0.000e+00 4.206e-01 1.985e+00 4.206e-01 
1.4892e-03 2.0778e-03 4.800e+02 2.654e-01 4.802e+02 9.978e-01 0.000e+00 2.282e-05 1.073e-04 2.282e-05 0.000e+00 4.206e-01 1.978e+00 4.206e-01 
1.5000e-03 2.0929e-03 4.765e+02 2.654e-01 4.768e+02 9.978e-01 0.000e+00 2.315e-05 1.085e-04 2.315e-05 0.000e+00 4.205e-01 1.971e+00 4.205e-01 
1.5109e-03 2.1081e-03 4.730e+02 2.654e-01 4.733e+02 9.978e-01 0.000e+00 2.349e-05 1.097e-04 2.349e-05 0.000e+00 4.205e-01 1.964e+00 4.205e-01 
1.5219e-03 2.1235e-03 4.696e+02 2.654e-01 4.699e+02 9.978e-01 0.000e+00 2.383e-05 1.109e-04 2.383e-05 0.000e+00 4.205e-01 1.956e+00 4.205e-01 
1.5330e-03 2.1389e-03 4.662e+02 2.653e-01 4.665e+02 9.978e-01 0.000e+00 2.418e-05 1.121e-04 2.418e-05 0.000e+00 4.205e-01 1.949e+00 4.205e-01 
1.5441e-03 2.1544e-03 4.629e+02 2.653e-01 4.631e+02 9.978e-01 0.000e+00 2.453e-05 1.133e-04 2.453e-05 0.000e+00 4.205e-01 1.942e+00 4.205e-01 
